iter	Passed	Remaining
0	160	160195
1	161	80457
2	164	54668
3	166	41403
4	169	33690
5	170	28328
6	172	24427
7	173	21511
8	174	19254
9	177	17524
10	178	16042
11	179	14772
12	180	13691
13	180	12744
14	181	11931
15	183	11271
16	184	10656
17	185	10115
18	186	9611
19	187	9166
20	187	8763
21	188	8389
22	189	8055
23	191	7800
24	192	7522
25	193	7262
26	194	7013
27	195	6798
28	197	6607
29	198	6411
30	199	6230
31	200	6052
32	200	5884
33	201	5727
34	202	5576
35	202	5432
36	203	5299
37	204	5171
38	205	5070
39	206	4957
40	207	4846
41	207	4742
42	208	4641
43	209	4543
44	209	4450
45	210	4361
46	210	4277
47	211	4199
48	212	4121
49	213	4047
50	213	3974
51	214	3902
52	214	3834
53	215	3768
54	215	3704
55	216	3643
56	216	3583
57	217	3526
58	217	3472
59	218	3418
60	218	3367
61	220	3330
62	220	3285
63	221	3239
64	222	3193
65	222	3149
66	223	3106
67	223	3064
68	224	3024
69	224	2985
70	225	2948
71	226	2914
72	226	2880
73	227	2846
74	228	2813
75	228	2780
76	229	2747
77	229	2715
78	230	2684
79	230	2653
80	231	2623
81	231	2594
82	232	2563
83	232	2535
84	233	2508
85	233	2482
86	234	2459
87	235	2437
88	235	2414
89	236	2391
90	237	2368
91	237	2345
92	238	2322
93	238	2301
94	239	2280
95	239	2258
96	240	2238
97	241	2218
98	241	2200
99	242	2181
100	243	2163
101	243	2144
102	244	2125
103	244	2107
104	245	2089
105	245	2071
106	246	2054
107	246	2037
108	247	2020
109	247	2003
110	248	1987
111	248	1971
112	249	1957
113	250	1948
114	251	1934
115	251	1920
116	252	1904
117	252	1890
118	253	1876
119	254	1862
120	254	1849
121	254	1834
122	255	1822
123	256	1810
124	257	1799
125	257	1788
126	258	1775
127	258	1763
128	259	1751
129	259	1739
130	260	1727
131	261	1716
132	261	1704
133	262	1693
134	262	1682
135	263	1672
136	263	1661
137	264	1651
138	265	1645
139	266	1635
140	266	1626
141	267	1615
142	267	1605
143	268	1595
144	268	1586
145	269	1576
146	269	1566
147	270	1556
148	271	1548
149	271	1540
150	272	1531
151	273	1523
152	273	1514
153	274	1505
154	274	1497
155	275	1488
156	275	1480
157	276	1471
158	276	1463
159	277	1455
160	277	1446
161	278	1438
162	278	1430
163	279	1422
164	280	1419
165	281	1412
166	281	1405
167	282	1398
168	283	1391
169	283	1384
170	284	1377
171	284	1370
172	285	1363
173	285	1357
174	286	1351
175	287	1345
176	287	1338
177	288	1332
178	289	1325
179	289	1318
180	290	1312
181	290	1305
182	291	1299
183	291	1293
184	292	1286
185	292	1280
186	293	1274
187	293	1267
188	294	1262
189	295	1259
190	296	1255
191	297	1251
192	298	1247
193	298	1241
194	299	1236
195	300	1231
196	300	1226
197	301	1222
198	302	1217
199	303	1213
200	304	1208
201	304	1204
202	305	1199
203	306	1194
204	306	1189
205	307	1185
206	308	1181
207	308	1176
208	310	1174
209	311	1170
210	312	1166
211	312	1162
212	313	1157
213	314	1154
214	315	1150
215	315	1146
216	316	1141
217	316	1136
218	317	1132
219	318	1128
220	318	1123
221	319	1119
222	320	1115
223	320	1110
224	321	1106
225	321	1102
226	322	1097
227	322	1093
228	323	1089
229	324	1087
230	325	1084
231	326	1081
232	327	1077
233	327	1073
234	328	1068
235	328	1064
236	329	1060
237	329	1055
238	330	1052
239	330	1048
240	331	1043
241	332	1040
242	332	1036
243	333	1032
244	333	1028
245	334	1025
246	335	1021
247	335	1017
248	336	1013
249	336	1009
250	337	1006
251	337	1002
252	338	998
253	338	994
254	339	991
255	340	989
256	341	986
257	341	983
258	342	979
259	343	976
260	343	972
261	344	969
262	344	965
263	345	961
264	345	958
265	346	954
266	346	952
267	347	949
268	348	946
269	349	943
270	349	940
271	350	937
272	350	933
273	351	930
274	351	927
275	352	923
276	352	920
277	353	917
278	353	914
279	354	910
280	355	909
281	356	906
282	356	904
283	357	901
284	358	898
285	358	895
286	359	892
287	359	889
288	360	886
289	360	883
290	361	880
291	361	877
292	362	874
293	363	871
294	363	869
295	364	866
296	364	863
297	365	860
298	365	857
299	366	855
300	367	852
301	367	849
302	368	846
303	368	843
304	369	840
305	369	838
306	370	836
307	371	834
308	371	831
309	372	829
310	373	826
311	373	824
312	374	821
313	374	818
314	375	816
315	375	813
316	376	811
317	377	808
318	377	806
319	378	804
320	379	802
321	379	799
322	380	796
323	380	794
324	381	791
325	381	789
326	382	787
327	383	785
328	384	783
329	384	781
330	385	779
331	386	777
332	387	775
333	388	773
334	388	771
335	389	769
336	389	767
337	390	764
338	391	763
339	392	761
340	392	759
341	393	756
342	394	754
343	394	752
344	395	750
345	395	748
346	396	745
347	396	743
348	397	741
349	397	738
350	398	736
351	398	734
352	399	731
353	400	730
354	400	728
355	401	725
356	401	723
357	402	721
358	402	719
359	403	717
360	403	715
361	404	712
362	404	710
363	405	708
364	406	707
365	407	705
366	407	703
367	408	701
368	408	699
369	409	697
370	410	695
371	410	693
372	411	691
373	411	689
374	412	687
375	412	685
376	413	683
377	413	681
378	414	679
379	415	677
380	416	676
381	417	674
382	417	672
383	418	671
384	418	669
385	419	667
386	419	665
387	420	663
388	421	661
389	421	659
390	422	658
391	423	656
392	423	654
393	424	652
394	424	650
395	425	648
396	425	647
397	426	645
398	427	643
399	427	641
400	428	639
401	428	637
402	429	635
403	429	634
404	430	633
405	431	631
406	432	630
407	432	628
408	433	626
409	433	624
410	434	622
411	434	620
412	435	618
413	436	617
414	437	616
415	437	614
416	438	613
417	439	611
418	439	609
419	440	607
420	440	605
421	441	604
422	441	602
423	442	600
424	442	598
425	443	596
426	443	595
427	444	593
428	444	591
429	445	591
430	446	589
431	447	587
432	447	586
433	448	584
434	448	582
435	449	581
436	449	579
437	450	577
438	450	576
439	451	574
440	452	573
441	452	571
442	453	570
443	454	568
444	454	567
445	455	565
446	455	564
447	456	562
448	457	561
449	458	560
450	458	558
451	459	556
452	459	555
453	460	553
454	461	552
455	462	552
456	463	550
457	464	549
458	464	547
459	465	546
460	465	544
461	466	543
462	466	541
463	467	539
464	468	538
465	468	537
466	469	535
467	469	533
468	470	532
469	470	530
470	471	529
471	471	527
472	472	526
473	472	524
474	473	523
475	473	521
476	474	520
477	476	519
478	476	518
479	478	518
480	479	517
481	479	515
482	480	514
483	480	512
484	481	511
485	482	509
486	482	508
487	483	506
488	483	505
489	484	503
490	484	502
491	485	501
492	485	499
493	486	498
494	486	496
495	487	495
496	487	493
497	488	492
498	488	490
499	489	489
500	490	488
501	491	487
502	491	486
503	492	484
504	493	483
505	493	482
506	494	480
507	494	479
508	495	477
509	496	476
510	496	475
511	497	474
512	497	472
513	498	471
514	499	470
515	500	469
516	500	467
517	501	466
518	501	465
519	503	464
520	503	463
521	504	461
522	504	460
523	505	459
524	506	458
525	508	457
526	508	456
527	509	455
528	510	454
529	510	452
530	511	451
531	511	450
532	512	449
533	513	447
534	513	446
535	514	445
536	515	444
537	515	442
538	516	441
539	516	440
540	517	438
541	517	437
542	518	436
543	519	435
544	519	433
545	520	432
546	521	431
547	521	430
548	522	429
549	523	428
550	523	426
551	524	425
552	525	424
553	525	423
554	526	422
555	527	420
556	527	419
557	528	418
558	529	417
559	530	416
560	530	415
561	531	414
562	532	412
563	532	411
564	533	410
565	533	409
566	534	408
567	534	406
568	535	405
569	536	404
570	537	404
571	538	403
572	539	401
573	539	400
574	540	399
575	540	398
576	541	396
577	542	395
578	542	394
579	543	393
580	544	392
581	544	391
582	545	390
583	546	388
584	546	387
585	547	386
586	547	385
587	548	384
588	548	382
589	549	381
590	549	380
591	550	379
592	551	378
593	552	377
594	553	376
595	553	375
596	554	374
597	554	372
598	555	371
599	556	370
600	557	369
601	557	368
602	558	367
603	558	366
604	559	365
605	559	364
606	560	362
607	561	361
608	561	360
609	562	359
610	562	358
611	563	357
612	563	355
613	564	354
614	564	353
615	565	352
616	566	351
617	567	350
618	567	349
619	568	348
620	568	347
621	569	346
622	569	344
623	570	343
624	570	342
625	571	341
626	572	340
627	572	339
628	573	338
629	574	337
630	574	336
631	575	335
632	575	333
633	576	332
634	576	331
635	577	330
636	577	329
637	578	328
638	578	326
639	579	325
640	579	324
641	580	323
642	581	322
643	582	321
644	583	320
645	583	319
646	584	318
647	584	317
648	585	316
649	585	315
650	586	314
651	586	313
652	587	312
653	587	311
654	588	310
655	589	308
656	589	307
657	590	306
658	590	305
659	591	304
660	591	303
661	592	302
662	592	301
663	593	300
664	593	299
665	594	298
666	594	297
667	595	295
668	596	295
669	597	294
670	597	293
671	598	292
672	599	291
673	599	290
674	600	288
675	600	287
676	601	286
677	601	285
678	602	284
679	603	283
680	603	282
681	604	281
682	604	280
683	605	279
684	605	278
685	606	277
686	606	276
687	607	275
688	607	274
689	608	273
690	609	272
691	609	271
692	610	270
693	611	269
694	612	268
695	612	267
696	613	266
697	614	265
698	614	264
699	615	263
700	615	262
701	616	261
702	616	260
703	617	259
704	618	258
705	618	257
706	619	256
707	619	255
708	620	254
709	621	253
710	621	252
711	622	251
712	622	250
713	623	249
714	623	248
715	624	247
716	625	246
717	625	245
718	626	244
719	627	244
720	628	243
721	629	242
722	629	241
723	630	240
724	630	239
725	631	238
726	631	237
727	632	236
728	633	235
729	633	234
730	634	233
731	634	232
732	635	231
733	635	230
734	636	229
735	637	228
736	637	227
737	638	226
738	638	225
739	639	224
740	639	223
741	640	222
742	640	221
743	641	220
744	642	220
745	643	219
746	644	218
747	644	217
748	645	216
749	645	215
750	646	214
751	646	213
752	647	212
753	647	211
754	648	210
755	649	209
756	649	208
757	650	207
758	650	206
759	651	205
760	652	204
761	652	203
762	652	202
763	653	201
764	653	200
765	654	199
766	654	198
767	655	198
768	656	197
769	657	196
770	658	195
771	658	194
772	659	193
773	659	192
774	660	191
775	660	190
776	661	189
777	662	188
778	662	188
779	663	187
780	664	186
781	664	185
782	665	184
783	665	183
784	666	182
785	666	181
786	667	180
787	667	179
788	668	178
789	668	177
790	669	176
791	669	175
792	670	175
793	670	174
794	671	173
795	672	172
796	673	171
797	674	170
798	674	169
799	675	168
800	675	167
801	676	166
802	676	166
803	677	165
804	677	164
805	678	163
806	678	162
807	679	161
808	680	160
809	680	159
810	681	158
811	682	157
812	682	157
813	683	156
814	684	155
815	684	154
816	685	153
817	685	152
818	686	151
819	687	150
820	688	150
821	688	149
822	689	148
823	689	147
824	690	146
825	691	145
826	691	144
827	692	143
828	693	142
829	693	142
830	694	141
831	694	140
832	695	139
833	696	138
834	696	137
835	697	136
836	697	135
837	698	134
838	698	134
839	698	133
840	699	132
841	700	131
842	700	130
843	701	129
844	702	128
845	703	128
846	704	127
847	704	126
848	705	125
849	705	124
850	706	123
851	707	122
852	707	121
853	708	121
854	709	120
855	709	119
856	710	118
857	710	117
858	711	116
859	711	115
860	712	115
861	712	114
862	713	113
863	713	112
864	714	111
865	714	110
866	715	109
867	715	108
868	716	108
869	717	107
870	718	106
871	718	105
872	719	104
873	720	103
874	720	102
875	721	102
876	721	101
877	722	100
878	723	99
879	723	98
880	724	97
881	724	96
882	725	96
883	726	95
884	726	94
885	727	93
886	727	92
887	728	91
888	728	90
889	729	90
890	729	89
891	730	88
892	730	87
893	731	86
894	731	85
895	739	85
896	740	85
897	741	84
898	742	83
899	742	82
900	743	81
901	743	80
902	744	79
903	744	79
904	745	78
905	745	77
906	746	76
907	746	75
908	747	74
909	748	74
910	749	73
911	750	72
912	750	71
913	751	70
914	751	69
915	752	68
916	752	68
917	753	67
918	754	66
919	754	65
920	755	64
921	756	63
922	756	63
923	757	62
924	758	61
925	758	60
926	759	59
927	759	58
928	760	58
929	761	57
930	761	56
931	762	55
932	763	54
933	764	53
934	764	53
935	765	52
936	766	51
937	766	50
938	767	49
939	768	49
940	768	48
941	769	47
942	770	46
943	770	45
944	771	44
945	771	44
946	772	43
947	773	42
948	773	41
949	774	40
950	774	39
951	775	39
952	775	38
953	776	37
954	776	36
955	777	35
956	777	34
957	778	34
958	779	33
959	780	32
960	780	31
961	781	30
962	781	30
963	782	29
964	783	28
965	783	27
966	784	26
967	785	25
968	785	25
969	786	24
970	786	23
971	787	22
972	787	21
973	788	21
974	788	20
975	789	19
976	789	18
977	790	17
978	790	16
979	791	16
980	791	15
981	792	14
982	793	13
983	794	12
984	795	12
985	796	11
986	796	10
987	797	9
988	797	8
989	798	8
990	799	7
991	800	6
992	800	5
993	801	4
994	802	4
995	802	3
996	803	2
997	804	1
998	804	0
999	805	0
